id,name,category,brand,tags
item_1,Onion 1 kg (Pyaz),Fresh Produce 🍅,Fresh Produce,onion 1 kg (pyaz) vegetables fresh
item_2,Desi Tomato (Tamatar),Fresh Produce 🍅,Fresh Produce,desi tomato (tamatar) vegetables fresh
item_3,Ginger (Adrak) (200 g),Fresh Produce 🍅,Fresh Produce,ginger (adrak) vegetables fresh
item_4,Green Chilli (Hari Mirch) (100 g),Fresh Produce 🍅,Fresh Produce,green chilli (hari mirch) vegetables fresh
item_5,Green Peas (Matar),Fresh Produce 🍅,Fresh Produce,green peas (matar) vegetables fresh
item_6,Green Capsicum (Shimla Mirch) (250 g),Fresh Produce 🍅,Fresh Produce,green capsicum (shimla mirch) vegetables fresh
item_7,Potato - New Crop (Aloo),Fresh Produce 🍅,Fresh Produce,potato - new crop (aloo) vegetables fresh
item_8,Hybrid Tomato (Tamatar),Fresh Produce 🍅,Fresh Produce,hybrid tomato (tamatar) vegetables fresh
item_9,Lemon (Nimbu) (250 g - 300 g),Fresh Produce 🍅,Fresh Produce,lemon (nimbu) vegetables fresh
item_10,Button Mushroom (180 g - 200 g),Fresh Produce 🍅,Fresh Produce,button mushroom vegetables fresh
item_11,English Cucumber (Kheera) (500 g - 600 g),Fresh Produce 🍅,Fresh Produce,english cucumber (kheera) vegetables fresh
item_12,French Beans (250 g),Fresh Produce 🍅,Fresh Produce,french beans vegetables fresh
item_13,Lady Finger (Bhindi) (Bhindi) (250 g),Fresh Produce 🍅,Fresh Produce,lady finger (bhindi) (bhindi) vegetables fresh
item_14,Green Cucumber (Kheera) (500 g),Fresh Produce 🍅,Fresh Produce,green cucumber (kheera) vegetables fresh
item_15,Cabbage (Patta Gobhi) (1 piece (400 g - 600 g)),Fresh Produce 🍅,Fresh Produce,cabbage (patta gobhi) vegetables fresh
item_16,Garlic (Lehsun) (200 g),Fresh Produce 🍅,Fresh Produce,garlic (lehsun) vegetables fresh
item_17,Beetroot (Chukandar) (500 g -600 g),Fresh Produce 🍅,Fresh Produce,beetroot (chukandar) vegetables fresh
item_18,Sweet Potato (Shakarkandi) (500 g - 700 g),Fresh Produce 🍅,Fresh Produce,sweet potato (shakarkandi) vegetables fresh
item_19,Bitter Gourd (Karela) (250 g),Fresh Produce 🍅,Fresh Produce,bitter gourd (karela) vegetables fresh
item_20,Potato - New Crop + Desi Tomato + Onion - 1 kg Combo (1 kg + 500 g + 1 kg),Fresh Produce 🍅,Fresh Produce,potato - new crop + desi tomato + onion - 1 kg combo vegetables fresh
item_21,Broad Beans (Sem Phali) (250 g),Fresh Produce 🍅,Fresh Produce,broad beans (sem phali) vegetables fresh
item_22,Baby Potato (Aloo) (500 g),Fresh Produce 🍅,Fresh Produce,baby potato (aloo) vegetables fresh
item_23,Potato - New Crop + Hybrid Tomato + Onion - Combo (1 kg + 500 g + 1 kg),Fresh Produce 🍅,Fresh Produce,potato - new crop + hybrid tomato + onion - combo vegetables fresh
item_24,Matar Paneer Combo (250 g + 200 g + 500 g + 100 g + 200 g),Fresh Produce 🍅,Fresh Produce,matar paneer combo vegetables fresh
item_25,Colocasia (Arvi) (250 g - 300 g),Fresh Produce 🍅,Fresh Produce,colocasia (arvi) vegetables fresh
item_26,Picador Chilli (Achari Mirch) (250 g),Fresh Produce 🍅,Fresh Produce,picador chilli (achari mirch) vegetables fresh
item_27,Corn Cob (Bhutta),Fresh Produce 🍅,Fresh Produce,corn cob (bhutta) vegetables fresh
item_28,Raw Turmeric (Kachhi Haldi) (250 g),Fresh Produce 🍅,Fresh Produce,raw turmeric (kachhi haldi) vegetables fresh
